Ausgabedatei Z88O3.TXT : Spannungen, erzeugt mit Z88R V15OS
                         **********

bei isoparametrischen Elementen Berechnung der Spannungen in den Gausspunkten
3 Punkte pro Achse/Element
Berechnung der Vergleichsspannungen nach Gestaltsaenderungsenergie-Hypothese fuer Elemente 3 + 6  
sowie fuer Gausspunkte der Elemente 1,7,8,10,11,12,14 bis 24

Element # = 1     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.01E+01  +6.07E+01  +2.691E+01  +2.234E+02  -5.389E+01  +2.309E+02
  +5.28E+01  +6.10E+01  +3.376E+01  +1.539E+02  -2.973E+01  +1.493E+02
  +5.55E+01  +6.12E+01  +4.401E+01  +9.427E+01  -9.504E+00  +8.334E+01
  +5.04E+01  +5.88E+01  +1.674E+01  +2.338E+02  -3.636E+01  +2.345E+02
  +5.30E+01  +5.88E+01  +2.909E+01  +1.641E+02  -1.732E+01  +1.546E+02
  +5.56E+01  +5.89E+01  +4.440E+01  +1.054E+02  -1.473E+00  +9.171E+01
  +5.06E+01  +5.69E+01  +1.039E+01  +2.379E+02  -1.715E+01  +2.348E+02
  +5.31E+01  +5.67E+01  +2.707E+01  +1.694E+02  -4.057E+00  +1.578E+02
  +5.56E+01  +5.65E+01  +4.632E+01  +1.130E+02  +6.931E+00  +9.908E+01

Element # = 28     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.98E+01  +7.18E+01  -2.906E+01  -7.447E+00  +3.909E+01  +7.258E+01
  +6.21E+01  +7.32E+01  -3.537E+01  -3.455E+01  +4.633E+01  +8.753E+01
  +6.43E+01  +7.47E+01  -4.731E+01  -7.245E+01  +5.721E+01  +1.178E+02
  +6.19E+01  +6.84E+01  -1.544E+00  -2.129E+01  +2.532E+01  +4.844E+01
  +6.44E+01  +6.94E+01  -1.448E+01  -5.063E+01  +3.851E+01  +8.055E+01
  +6.69E+01  +7.04E+01  -3.116E+01  -8.729E+01  +5.408E+01  +1.210E+02
  +6.38E+01  +6.43E+01  +7.953E+00  -3.324E+01  +2.316E+01  +5.515E+01
  +6.65E+01  +6.49E+01  -1.490E+01  -6.997E+01  +4.167E+01  +9.635E+01
  +6.93E+01  +6.54E+01  -3.957E+01  -1.105E+02  +6.183E+01  +1.445E+02

Element # = 29     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.42E+01  +6.82E+01  +2.063E+01  +6.626E+01  +2.677E+00  +5.891E+01
  +5.63E+01  +6.96E+01  -2.720E+00  +3.258E+01  +2.033E+01  +4.896E+01
  +5.85E+01  +7.10E+01  -2.039E+01  +4.945E+00  +3.453E+01  +6.417E+01
  +5.55E+01  +6.58E+01  +3.083E+01  +6.602E+01  -2.100E+00  +5.734E+01
  +5.80E+01  +6.68E+01  +1.743E+01  +2.922E+01  +1.183E+01  +3.268E+01
  +6.05E+01  +6.78E+01  +7.489E+00  -7.011E-02  +2.354E+01  +4.147E+01
  +5.67E+01  +6.30E+01  +3.952E+01  +6.333E+01  +1.561E+00  +5.547E+01
  +5.94E+01  +6.35E+01  +3.014E+01  +2.187E+01  +1.077E+01  +3.280E+01
  +6.22E+01  +6.40E+01  +2.357E+01  -1.033E+01  +1.931E+01  +4.499E+01

Element # = 30     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +4.86E+01  +6.47E+01  +6.981E+01  +2.008E+02  -9.370E+01  +2.398E+02
  +5.07E+01  +6.60E+01  +4.611E+01  +1.309E+02  -4.679E+01  +1.407E+02
  +5.29E+01  +6.74E+01  +4.021E+01  +8.771E+01  -1.146E+01  +7.860E+01
  +4.92E+01  +6.33E+01  +5.194E+01  +2.167E+02  -8.268E+01  +2.427E+02
  +5.17E+01  +6.43E+01  +4.261E+01  +1.389E+02  -4.346E+01  +1.444E+02
  +5.41E+01  +6.52E+01  +4.680E+01  +9.216E+01  -1.302E+01  +8.294E+01
  +4.98E+01  +6.17E+01  +3.683E+01  +2.280E+02  -6.362E+01  +2.389E+02
  +5.25E+01  +6.22E+01  +3.442E+01  +1.406E+02  -3.354E+01  +1.396E+02
  +5.52E+01  +6.27E+01  +4.367E+01  +8.904E+01  -8.726E+00  +7.858E+01

Element # = 31     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.34E+01  +7.78E+01  -4.939E+01  +2.165E+01  +1.887E+01  +7.103E+01
  +5.48E+01  +7.98E+01  -5.929E+01  +3.124E+00  +2.607E+01  +7.582E+01
  +5.61E+01  +8.18E+01  -6.439E+01  -1.044E+01  +3.039E+01  +7.970E+01
  +5.61E+01  +7.60E+01  -3.464E+01  +1.692E+01  +2.887E+01  +6.762E+01
  +5.78E+01  +7.78E+01  -4.359E+01  -8.609E+00  +3.618E+01  +7.434E+01
  +5.95E+01  +7.97E+01  -4.782E+01  -2.817E+01  +4.058E+01  +8.169E+01
  +5.85E+01  +7.35E+01  -3.423E+01  +2.909E+00  +3.973E+01  +7.756E+01
  +6.06E+01  +7.51E+01  -4.002E+01  -2.713E+01  +4.578E+01  +8.684E+01
  +6.26E+01  +7.67E+01  -4.142E+01  -5.041E+01  +4.905E+01  +9.689E+01

Element # = 32     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.00E+01  +7.26E+01  -1.525E+01  +7.132E+01  -7.337E+00  +8.105E+01
  +5.13E+01  +7.46E+01  -3.088E+01  +4.941E+01  +3.317E+00  +7.039E+01
  +5.26E+01  +7.66E+01  -4.384E+01  +3.001E+01  +1.241E+01  +6.782E+01
  +5.17E+01  +7.12E+01  +9.400E+00  +7.541E+01  -1.429E+00  +7.122E+01
  +5.34E+01  +7.30E+01  -1.029E+01  +4.934E+01  +1.175E+01  +5.884E+01
  +5.51E+01  +7.49E+01  -2.607E+01  +2.750E+01  +2.267E+01  +6.078E+01
  +5.33E+01  +6.94E+01  +1.541E+01  +6.954E+01  +5.061E+00  +6.386E+01
  +5.53E+01  +7.10E+01  -6.417E+00  +3.922E+01  +2.035E+01  +5.544E+01
  +5.73E+01  +7.26E+01  -2.368E+01  +1.474E+01  +3.288E+01  +6.611E+01

Element # = 33     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +4.67E+01  +6.75E+01  +1.288E+02  +1.517E+02  -1.087E+02  +2.357E+02
  +4.79E+01  +6.94E+01  +5.011E+01  +1.010E+02  -4.804E+01  +1.207E+02
  +4.92E+01  +7.14E+01  +1.506E+01  +8.599E+01  -9.574E+00  +8.125E+01
  +4.75E+01  +6.65E+01  +1.136E+02  +1.810E+02  -1.088E+02  +2.462E+02
  +4.91E+01  +6.83E+01  +5.475E+01  +1.163E+02  -4.943E+01  +1.323E+02
  +5.08E+01  +7.01E+01  +3.170E+01  +9.012E+01  -1.070E+01  +8.132E+01
  +4.82E+01  +6.54E+01  +8.492E+01  +1.974E+02  -9.953E+01  +2.432E+02
  +5.02E+01  +6.70E+01  +4.354E+01  +1.205E+02  -4.441E+01  +1.307E+02
  +5.21E+01  +6.85E+01  +3.193E+01  +8.473E+01  -7.968E+00  +7.539E+01

Element # = 34     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +4.54E+01  +7.96E+01  -4.244E+01  +9.069E+00  -2.197E+01  +6.096E+01
  +4.57E+01  +8.17E+01  -5.167E+01  +4.485E+00  -1.469E+01  +5.974E+01
  +4.60E+01  +8.37E+01  -5.945E+01  +6.575E-01  -8.916E+00  +6.174E+01
  +4.87E+01  +7.94E+01  -4.301E+01  +2.340E+01  -8.692E+00  +6.025E+01
  +4.94E+01  +8.15E+01  -5.240E+01  +1.298E+01  -8.245E-01  +5.998E+01
  +5.02E+01  +8.36E+01  -6.024E+01  +4.238E+00  +5.398E+00  +6.316E+01
  +5.17E+01  +7.86E+01  -5.183E+01  +2.396E+01  +9.666E+00  +6.915E+01
  +5.29E+01  +8.06E+01  -6.098E+01  +8.422E+00  +1.722E+01  +7.206E+01
  +5.40E+01  +8.27E+01  -6.852E+01  -4.623E+00  +2.312E+01  +7.748E+01

Element # = 35     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +4.48E+01  +7.43E+01  -1.399E+01  +2.137E+01  -5.380E+01  +9.815E+01
  +4.51E+01  +7.64E+01  -2.619E+01  +1.983E+01  -3.870E+01  +7.805E+01
  +4.53E+01  +7.84E+01  -3.432E+01  +2.047E+01  -2.908E+01  +6.954E+01
  +4.69E+01  +7.40E+01  -7.137E+00  +5.939E+01  -3.932E+01  +9.295E+01
  +4.76E+01  +7.61E+01  -2.403E+01  +4.476E+01  -2.436E+01  +7.373E+01
  +4.83E+01  +7.82E+01  -3.585E+01  +3.519E+01  -1.452E+01  +6.647E+01
  +4.89E+01  +7.32E+01  -1.320E+01  +7.344E+01  -1.900E+01  +8.730E+01
  +5.00E+01  +7.53E+01  -3.281E+01  +4.938E+01  -5.279E+00  +7.224E+01
  +5.11E+01  +7.73E+01  -4.689E+01  +3.219E+01  +3.803E+00  +6.920E+01

Element # = 36     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +4.44E+01  +6.91E+01  +1.713E+02  +6.364E+01  -7.762E+01  +2.014E+02
  +4.45E+01  +7.11E+01  +1.049E+01  +3.973E+01  -6.152E+01  +1.124E+02
  +4.47E+01  +7.31E+01  -6.501E+00  +6.210E+01  -7.060E+01  +1.388E+02
  +4.53E+01  +6.86E+01  +1.866E+02  +1.233E+02  -9.653E+01  +2.344E+02
  +4.59E+01  +7.07E+01  +3.112E+01  +7.906E+01  -5.574E+01  +1.187E+02
  +4.66E+01  +7.28E+01  +2.076E+00  +8.468E+01  -4.423E+01  +1.134E+02
  +4.62E+01  +6.79E+01  +1.550E+02  +1.425E+02  -1.062E+02  +2.369E+02
  +4.72E+01  +7.00E+01  +2.721E+01  +9.176E+01  -4.688E+01  +1.151E+02
  +4.83E+01  +7.20E+01  +5.906E+00  +8.917E+01  -1.838E+01  +9.205E+01

Element # = 37     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +3.88E+01  +7.83E+01  -5.246E-01  -1.595E+01  -2.733E+01  +4.988E+01
  +3.92E+01  +8.01E+01  -1.706E+01  -1.195E+01  -2.165E+01  +4.045E+01
  +3.97E+01  +8.19E+01  -3.647E+01  -7.896E+00  -1.708E+01  +4.449E+01
  +4.13E+01  +7.88E+01  -1.364E+01  -8.362E+00  -2.896E+01  +5.155E+01
  +4.16E+01  +8.07E+01  -2.791E+01  -8.340E+00  -2.238E+01  +4.602E+01
  +4.19E+01  +8.26E+01  -4.476E+01  -8.745E+00  -1.658E+01  +5.014E+01
  +4.37E+01  +7.94E+01  -2.714E+01  +2.995E+00  -2.937E+01  +5.844E+01
  +4.39E+01  +8.14E+01  -3.936E+01  +1.724E-03  -2.159E+01  +5.429E+01
  +4.41E+01  +8.34E+01  -5.386E+01  -3.776E+00  -1.425E+01  +5.763E+01

Element # = 38     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +3.76E+01  +7.36E+01  +2.981E+01  -3.947E+01  -1.996E+01  +6.941E+01
  +3.81E+01  +7.54E+01  +1.709E+01  -3.311E+01  -2.323E+01  +5.978E+01
  +3.85E+01  +7.72E+01  +4.972E+00  -2.616E+01  -2.713E+01  +5.521E+01
  +4.05E+01  +7.39E+01  +1.539E+01  -3.063E+01  -4.094E+01  +8.170E+01
  +4.08E+01  +7.58E+01  +2.070E+00  -2.834E+01  -3.654E+01  +6.980E+01
  +4.11E+01  +7.77E+01  -1.107E+01  -2.630E+01  -3.171E+01  +5.950E+01
  +4.34E+01  +7.43E+01  +7.848E+00  +1.498E+00  -6.288E+01  +1.091E+02
  +4.35E+01  +7.62E+01  -5.196E+00  +3.596E+00  -5.127E+01  +8.913E+01
  +4.37E+01  +7.82E+01  -1.842E+01  +4.793E+00  -3.817E+01  +6.944E+01

Element # = 39     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +3.65E+01  +6.90E+01  -3.862E+01  -8.656E+01  +4.751E+01  +1.114E+02
  +3.69E+01  +7.08E+01  +1.254E+01  -6.352E+01  +2.034E+01  +7.893E+01
  +3.74E+01  +7.26E+01  +3.050E+01  -5.105E+01  -2.753E+00  +7.153E+01
  +3.98E+01  +6.91E+01  -1.615E+01  -1.169E+02  -1.105E+01  +1.114E+02
  +4.01E+01  +7.09E+01  +1.221E+01  -9.907E+01  -2.575E+01  +1.147E+02
  +4.03E+01  +7.28E+01  +7.717E+00  -9.293E+01  -3.413E+01  +1.136E+02
  +4.31E+01  +6.92E+01  +4.044E+01  -3.296E+01  -8.443E+01  +1.595E+02
  +4.32E+01  +7.11E+01  +5.342E+01  -2.595E+00  -8.901E+01  +1.636E+02
  +4.33E+01  +7.31E+01  +3.365E+01  +1.536E+01  -8.475E+01  +1.497E+02

Element # = 40     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +3.20E+01  +7.69E+01  -3.768E-01  -4.782E+00  +1.289E+00  +5.117E+00
  +3.27E+01  +7.84E+01  +4.069E+00  -1.095E+00  -2.901E-01  +4.740E+00
  +3.34E+01  +7.99E+01  +6.851E+00  +8.552E-02  -1.389E-01  +6.813E+00
  +3.47E+01  +7.74E+01  -1.185E+00  -1.482E+01  -5.052E+00  +1.673E+01
  +3.53E+01  +7.90E+01  -3.359E+00  -7.701E+00  -5.628E+00  +1.182E+01
  +3.59E+01  +8.07E+01  -7.814E+00  -2.579E+00  -4.672E+00  +1.063E+01
  +3.73E+01  +7.80E+01  +1.690E+00  -2.080E+01  -1.624E+01  +3.552E+01
  +3.78E+01  +7.97E+01  -6.682E+00  -1.053E+01  -1.644E+01  +2.993E+01
  +3.83E+01  +8.14E+01  -1.810E+01  -2.002E+00  -1.526E+01  +3.153E+01

Element # = 41     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +3.01E+01  +7.29E+01  -3.911E+00  +3.173E+00  +1.070E+00  +6.420E+00
  +3.09E+01  +7.45E+01  -9.374E-01  +7.796E-02  +7.345E-01  +1.605E+00
  +3.16E+01  +7.60E+01  -2.260E+00  -6.526E+00  +2.715E+00  +7.420E+00
  +3.30E+01  +7.32E+01  -1.639E+00  -1.648E+01  +4.607E+00  +1.763E+01
  +3.37E+01  +7.48E+01  +3.346E+00  -8.515E+00  -1.302E+00  +1.083E+01
  +3.43E+01  +7.65E+01  +4.705E+00  -2.745E+00  -5.780E+00  +1.195E+01
  +3.59E+01  +7.35E+01  -3.276E+00  -5.031E+01  +7.677E+00  +5.054E+01
  +3.65E+01  +7.52E+01  +3.004E+00  -3.432E+01  -3.512E+00  +3.642E+01
  +3.70E+01  +7.69E+01  +6.171E+00  -1.952E+01  -1.406E+01  +3.366E+01

Element # = 42     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +2.81E+01  +6.89E+01  +7.434E+00  +3.466E+00  -1.875E+00  +7.215E+00
  +2.89E+01  +7.05E+01  -5.605E+00  +9.543E-01  +1.704E-01  +6.146E+00
  +2.96E+01  +7.20E+01  -5.839E+00  +5.188E+00  -2.088E+00  +1.022E+01
  +3.13E+01  +6.89E+01  +7.251E+00  +9.112E+00  -7.176E+00  +1.497E+01
  +3.20E+01  +7.06E+01  -3.213E+00  -9.408E-01  +2.224E-01  +2.887E+00
  +3.27E+01  +7.22E+01  -2.053E+00  -5.439E+00  +4.088E+00  +8.530E+00
  +3.46E+01  +6.89E+01  +5.392E+00  +8.227E+00  -8.327E+00  +1.614E+01
  +3.51E+01  +7.07E+01  -3.130E+00  -9.519E+00  +4.263E+00  +1.119E+01
  +3.56E+01  +7.24E+01  -9.462E-01  -2.258E+01  +1.387E+01  +3.265E+01

Element # = 43     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +2.49E+01  +7.55E+01  -1.016E+00  -1.021E-02  +1.586E+00  +2.927E+00
  +2.58E+01  +7.67E+01  -1.963E-01  +9.012E-02  +1.615E+00  +2.809E+00
  +2.66E+01  +7.79E+01  +3.132E+00  +1.738E+00  +6.689E-01  +2.954E+00
  +2.77E+01  +7.60E+01  +9.609E-01  +2.814E+00  +1.350E-01  +2.489E+00
  +2.85E+01  +7.74E+01  +1.611E+00  +1.136E+00  +1.223E+00  +2.557E+00
  +2.93E+01  +7.87E+01  +4.287E+00  +5.758E-01  +1.594E+00  +4.885E+00
  +3.04E+01  +7.66E+01  +1.724E+00  +2.934E+00  -3.235E-01  +2.615E+00
  +3.12E+01  +7.80E+01  +2.330E+00  -2.228E-01  +1.613E+00  +3.716E+00
  +3.19E+01  +7.95E+01  +4.638E+00  -2.525E+00  +2.991E+00  +8.151E+00

Element # = 44     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +2.24E+01  +7.23E+01  -8.266E-01  -2.260E+00  -1.266E+00  +2.955E+00
  +2.34E+01  +7.36E+01  -1.745E+00  -1.366E+00  +2.146E-01  +1.633E+00
  +2.43E+01  +7.48E+01  +5.384E-02  +2.779E+00  +4.977E-02  +2.754E+00
  +2.54E+01  +7.25E+01  -6.440E-01  +5.011E+00  -1.266E+00  +5.793E+00
  +2.63E+01  +7.39E+01  -1.702E+00  +2.041E+00  +3.578E-01  +3.305E+00
  +2.72E+01  +7.53E+01  -5.011E-01  +1.428E+00  +6.114E-01  +2.032E+00
  +2.84E+01  +7.28E+01  -2.656E+00  +5.754E+00  -6.619E-02  +7.447E+00
  +2.92E+01  +7.43E+01  -3.926E+00  -9.595E-01  +1.721E+00  +4.632E+00
  +3.00E+01  +7.57E+01  -3.250E+00  -5.905E+00  +2.323E+00  +6.513E+00

Element # = 45     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.97E+01  +6.90E+01  -1.165E+00  +1.087E+00  -3.552E-01  +2.045E+00
  +2.08E+01  +7.03E+01  +1.972E+00  +1.189E+00  -8.141E-01  +2.224E+00
  +2.18E+01  +7.16E+01  +2.802E-01  -2.151E+00  +8.494E-01  +2.734E+00
  +2.29E+01  +6.89E+01  -9.392E-01  -3.482E+00  +1.755E+00  +4.356E+00
  +2.39E+01  +7.03E+01  +1.270E+00  -4.680E-01  -3.996E-01  +1.705E+00
  +2.49E+01  +7.17E+01  -7.476E-01  -1.515E-01  -8.588E-01  +1.637E+00
  +2.62E+01  +6.89E+01  +6.173E-01  -3.090E+00  +2.289E+00  +5.250E+00
  +2.70E+01  +7.04E+01  +2.179E+00  +2.969E+00  -1.476E+00  +3.692E+00
  +2.79E+01  +7.19E+01  -2.483E-02  +6.858E+00  -3.840E+00  +9.563E+00

Element # = 46     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +8.12E+01  +4.12E+01  -5.788E+01  -1.889E+01  +1.851E+00  +5.122E+01
  +8.06E+01  +3.83E+01  -7.078E+01  -7.743E+00  +1.191E+01  +7.034E+01
  +7.99E+01  +3.55E+01  -1.181E+02  -8.762E+00  +2.856E+01  +1.242E+02
  +7.60E+01  +4.26E+01  -3.309E+01  -3.425E+01  +2.855E+00  +3.405E+01
  +7.57E+01  +3.95E+01  -9.823E+01  -2.635E+01  -5.120E+00  +8.851E+01
  +7.54E+01  +3.64E+01  -1.890E+02  -2.618E+01  -1.112E+01  +1.784E+02
  +7.03E+01  +4.34E+01  -8.277E+00  -6.360E+01  -2.120E+01  +7.025E+01
  +7.00E+01  +3.98E+01  -9.104E+01  -5.326E+01  -4.556E+01  +1.118E+02
  +6.96E+01  +3.62E+01  -1.770E+02  -4.392E+01  -6.971E+01  +2.001E+02

Element # = 47     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +8.29E+01  +4.88E+01  +3.148E+01  -1.971E+01  -6.082E-01  +4.474E+01
  +8.23E+01  +4.58E+01  +2.840E+00  -1.832E+01  +4.097E-02  +1.989E+01
  +8.16E+01  +4.29E+01  -4.098E+01  -2.076E+01  +1.187E+00  +3.555E+01
  +7.68E+01  +5.06E+01  +4.885E+01  -4.293E+01  +2.551E+00  +7.966E+01
  +7.65E+01  +4.75E+01  +2.011E+01  -4.420E+01  -3.625E+00  +5.733E+01
  +7.62E+01  +4.44E+01  -1.847E+01  -4.819E+01  -1.005E+01  +4.557E+01
  +7.12E+01  +5.26E+01  +7.740E+01  -5.721E+01  +1.666E+01  +1.205E+02
  +7.08E+01  +4.90E+01  +5.256E+01  -5.848E+01  +4.530E+00  +9.653E+01
  +7.05E+01  +4.55E+01  +2.571E+01  -6.027E+01  -7.789E+00  +7.763E+01

Element # = 48     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +8.46E+01  +5.66E+01  +1.258E+02  +6.921E+00  -2.772E+01  +1.315E+02
  +8.40E+01  +5.35E+01  +9.063E+01  -3.134E+00  -1.476E+01  +9.571E+01
  +8.33E+01  +5.05E+01  +5.195E+01  -1.373E+01  -2.190E+00  +6.013E+01
  +7.76E+01  +5.88E+01  +7.893E+01  -9.529E+00  -1.312E+01  +8.712E+01
  +7.73E+01  +5.56E+01  +6.811E+01  -1.821E+01  -7.016E+00  +7.974E+01
  +7.70E+01  +5.25E+01  +5.661E+01  -2.675E+01  -2.313E+00  +7.383E+01
  +7.20E+01  +6.18E+01  +2.087E+01  -5.859E+01  +3.729E+01  +9.624E+01
  +7.17E+01  +5.83E+01  +5.209E+01  -5.858E+01  +3.047E+01  +1.095E+02
  +7.14E+01  +5.47E+01  +7.868E+01  -5.981E+01  +2.373E+01  +1.271E+02

Element # = 49     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +9.98E+01  +3.65E+01  -5.219E+01  -1.295E+00  +1.533E+01  +5.798E+01
  +9.90E+01  +3.36E+01  -8.608E+01  -5.157E+00  +2.284E+01  +9.250E+01
  +9.81E+01  +3.07E+01  -1.143E+02  -7.451E+00  +3.007E+01  +1.224E+02
  +9.23E+01  +3.83E+01  -5.503E+01  -3.432E+00  +1.094E+01  +5.666E+01
  +9.15E+01  +3.54E+01  -8.542E+01  -4.091E+00  +2.211E+01  +9.182E+01
  +9.06E+01  +3.25E+01  -1.101E+02  -3.062E+00  +3.310E+01  +1.228E+02
  +8.48E+01  +4.01E+01  -6.113E+01  -1.522E+01  +5.095E+00  +5.583E+01
  +8.40E+01  +3.73E+01  -8.812E+01  -1.264E+01  +1.978E+01  +8.936E+01
  +8.32E+01  +3.44E+01  -1.093E+02  -8.219E+00  +3.445E+01  +1.211E+02

Element # = 50     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.02E+02  +4.41E+01  +3.182E+01  +3.364E+00  -7.619E+00  +3.303E+01
  +1.01E+02  +4.11E+01  -2.591E+00  +4.254E-01  +4.968E-01  +2.956E+00
  +1.00E+02  +3.82E+01  -3.458E+01  -1.634E+00  +8.339E+00  +3.675E+01
  +9.44E+01  +4.59E+01  +3.018E+01  +3.455E+00  -8.406E+00  +3.210E+01
  +9.36E+01  +4.29E+01  -2.900E+00  +2.585E-01  +7.068E-01  +3.275E+00
  +9.28E+01  +4.00E+01  -3.362E+01  -2.033E+00  +9.597E+00  +3.664E+01
  +8.70E+01  +4.77E+01  +2.760E+01  -7.685E-01  -9.117E+00  +3.214E+01
  +8.61E+01  +4.48E+01  -4.250E+00  -4.139E+00  +8.198E-01  +4.430E+00
  +8.53E+01  +4.18E+01  -3.380E+01  -6.585E+00  +1.060E+01  +3.606E+01

Element # = 51     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.04E+02  +5.18E+01  +1.187E+02  +8.854E+00  -2.830E+01  +1.246E+02
  +1.03E+02  +4.88E+01  +8.141E+01  +5.990E+00  -2.110E+01  +8.667E+01
  +1.02E+02  +4.58E+01  +4.902E+01  +4.988E+00  -1.474E+01  +5.324E+01
  +9.65E+01  +5.37E+01  +1.191E+02  +1.181E+01  -3.117E+01  +1.258E+02
  +9.57E+01  +5.07E+01  +8.205E+01  +6.200E+00  -2.076E+01  +8.692E+01
  +9.49E+01  +4.76E+01  +4.977E+01  +2.423E+00  -1.109E+01  +5.226E+01
  +8.91E+01  +5.56E+01  +1.182E+02  +1.176E+01  -3.513E+01  +1.281E+02
  +8.83E+01  +5.25E+01  +8.122E+01  +3.533E+00  -2.173E+01  +8.797E+01
  +8.74E+01  +4.95E+01  +4.892E+01  -2.914E+00  -8.970E+00  +5.278E+01

Element # = 52     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.19E+02  +3.17E+01  -4.955E+01  -4.308E+00  +1.368E+01  +5.312E+01
  +1.18E+02  +2.88E+01  -8.283E+01  -5.687E+00  +2.176E+01  +8.856E+01
  +1.17E+02  +2.58E+01  -1.168E+02  -7.300E+00  +2.989E+01  +1.246E+02
  +1.12E+02  +3.36E+01  -5.070E+01  -3.290E+00  +1.403E+01  +5.482E+01
  +1.11E+02  +3.06E+01  -8.377E+01  -5.723E+00  +2.111E+01  +8.892E+01
  +1.10E+02  +2.77E+01  -1.176E+02  -8.363E+00  +2.826E+01  +1.238E+02
  +1.04E+02  +3.54E+01  -5.121E+01  -2.228E+00  +1.529E+01  +5.669E+01
  +1.03E+02  +3.25E+01  -8.416E+01  -5.611E+00  +2.119E+01  +8.938E+01
  +1.02E+02  +2.96E+01  -1.180E+02  -9.189E+00  +2.717E+01  +1.231E+02

Element # = 53     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.21E+02  +3.94E+01  +2.927E+01  -3.910E-01  -1.039E+01  +3.454E+01
  +1.20E+02  +3.64E+01  -6.257E-01  -1.292E+00  -1.349E+00  +2.590E+00
  +1.20E+02  +3.34E+01  -3.122E+01  -2.522E+00  +7.862E+00  +3.298E+01
  +1.14E+02  +4.12E+01  +3.081E+01  +1.406E+00  -8.264E+00  +3.336E+01
  +1.13E+02  +3.82E+01  -3.913E-01  +1.594E-02  -1.417E-02  +4.002E-01
  +1.12E+02  +3.53E+01  -3.236E+01  -1.670E+00  +8.434E+00  +3.478E+01
  +1.06E+02  +4.30E+01  +3.168E+01  +1.893E+00  -6.781E+00  +3.294E+01
  +1.05E+02  +4.01E+01  -9.098E-01  +1.346E-01  +5.159E-01  +1.329E+00
  +1.05E+02  +3.71E+01  -3.435E+01  -1.891E+00  +8.036E+00  +3.623E+01

Element # = 54     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +1.23E+02  +4.70E+01  +1.129E+02  +7.740E+00  -3.331E+01  +1.235E+02
  +1.22E+02  +4.40E+01  +8.613E+01  +7.930E+00  -2.076E+01  +8.995E+01
  +1.22E+02  +4.11E+01  +5.522E+01  +6.670E+00  -7.588E+00  +5.383E+01
  +1.16E+02  +4.89E+01  +1.134E+02  +4.458E+00  -3.117E+01  +1.236E+02
  +1.15E+02  +4.59E+01  +8.463E+01  +4.457E+00  -2.168E+01  +9.064E+01
  +1.14E+02  +4.29E+01  +5.168E+01  +3.046E+00  -1.153E+01  +5.406E+01
  +1.08E+02  +5.07E+01  +1.157E+02  +5.390E+00  -2.793E+01  +1.231E+02
  +1.08E+02  +4.77E+01  +8.493E+01  +5.319E+00  -2.160E+01  +9.050E+01
  +1.07E+02  +4.48E+01  +4.989E+01  +3.879E+00  -1.461E+01  +5.432E+01

