Ausgabedatei Z88O3.TXT : Spannungen, erzeugt mit Z88R V15OS
                         **********

bei isoparametrischen Elementen Berechnung der Spannungen in den Gausspunkten
3 Punkte pro Achse/Element
Berechnung der Vergleichsspannungen nach Gestaltsaenderungsenergie-Hypothese fuer Elemente 3 + 6  
sowie fuer Gausspunkte der Elemente 1,7,8,10,11,12,14 bis 24

Element # = 1     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +4.29E+01  +2.96E+01  -2.002E+02  +5.879E+01  +2.803E+01  +2.402E+02
  +4.28E+01  +2.77E+01  -2.618E+02  +2.552E+01  +3.209E+01  +2.810E+02
  +4.28E+01  +2.57E+01  -3.073E+02  -2.487E+00  +3.845E+01  +3.132E+02
  +3.95E+01  +3.03E+01  -1.712E+02  +2.924E+01  +6.344E+01  +2.174E+02
  +3.96E+01  +2.86E+01  -2.619E+02  +2.723E+00  +7.757E+01  +2.956E+02
  +3.96E+01  +2.68E+01  -3.354E+02  -1.860E+01  +9.415E+01  +3.649E+02
  +3.63E+01  +3.11E+01  -1.594E+02  -1.178E+01  +7.249E+01  +1.986E+02
  +3.64E+01  +2.94E+01  -2.835E+02  -2.933E+01  +9.916E+01  +3.200E+02
  +3.65E+01  +2.77E+01  -3.898E+02  -4.203E+01  +1.284E+02  +4.322E+02

Element # = 8     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +4.29E+01  +3.44E+01  +5.472E+01  +1.030E+02  +4.526E+01  +1.188E+02
  +4.29E+01  +3.25E+01  -5.441E+01  +8.724E+01  +3.485E+01  +1.377E+02
  +4.29E+01  +3.07E+01  -1.546E+02  +7.345E+01  +2.496E+01  +2.062E+02
  +3.95E+01  +3.48E+01  +9.969E+01  +5.102E+01  +5.066E+01  +1.231E+02
  +3.95E+01  +3.31E+01  -1.626E+01  +3.776E+01  +4.964E+01  +9.847E+01
  +3.95E+01  +3.14E+01  -1.225E+02  +2.643E+01  +4.885E+01  +1.616E+02
  +3.62E+01  +3.52E+01  +1.479E+02  +7.436E+00  +4.673E+01  +1.655E+02
  +3.62E+01  +3.36E+01  +2.527E+01  -1.589E+00  +5.762E+01  +1.032E+02
  +3.63E+01  +3.20E+01  -8.691E+01  -8.790E+00  +6.841E+01  +1.446E+02

Element # = 9     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +4.30E+01  +3.89E+01  +5.423E+02  +7.017E+01  +1.113E+02  +5.460E+02
  +4.29E+01  +3.72E+01  +3.412E+02  +9.928E+01  +8.901E+01  +3.408E+02
  +4.29E+01  +3.54E+01  +1.515E+02  +1.286E+02  +6.301E+01  +1.787E+02
  +3.95E+01  +3.90E+01  +4.445E+02  +1.353E-01  +3.167E+01  +4.478E+02
  +3.95E+01  +3.74E+01  +2.955E+02  +1.775E+01  +3.162E+01  +2.922E+02
  +3.95E+01  +3.58E+01  +1.604E+02  +3.691E+01  +2.631E+01  +1.525E+02
  +3.61E+01  +3.91E+01  +3.684E+02  -4.827E+00  -1.010E+01  +3.713E+02
  +3.61E+01  +3.76E+01  +2.759E+02  -1.993E+00  +1.574E+01  +2.783E+02
  +3.62E+01  +3.61E+01  +2.017E+02  +4.676E+00  +3.497E+01  +2.084E+02

Element # = 10     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.04E+01  +3.10E+01  -1.518E+02  +3.535E+01  -6.584E+01  +2.066E+02
  +5.12E+01  +2.90E+01  -2.461E+02  +2.910E+00  -8.182E+01  +2.853E+02
  +5.21E+01  +2.70E+01  -3.254E+02  -2.526E+01  -9.578E+01  +3.548E+02
  +4.77E+01  +3.02E+01  -1.663E+02  +6.370E+01  -3.721E+01  +2.155E+02
  +4.81E+01  +2.82E+01  -2.403E+02  +3.526E+01  -4.044E+01  +2.690E+02
  +4.86E+01  +2.62E+01  -3.029E+02  +9.574E+00  -4.420E+01  +3.172E+02
  +4.47E+01  +2.95E+01  -2.063E+02  +6.529E+01  -3.243E+00  +2.456E+02
  +4.48E+01  +2.75E+01  -2.601E+02  +3.404E+01  +3.023E+00  +2.787E+02
  +4.49E+01  +2.56E+01  -3.063E+02  +5.245E+00  +6.643E+00  +3.092E+02

Element # = 11     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +4.82E+01  +3.59E+01  +8.918E+01  +1.257E+02  -1.100E-02  +1.120E+02
  +4.90E+01  +3.40E+01  -1.862E+01  +8.235E+01  -3.145E+01  +1.078E+02
  +4.99E+01  +3.21E+01  -1.013E+02  +5.208E+01  -5.426E+01  +1.646E+02
  +4.64E+01  +3.51E+01  +7.621E+01  +1.369E+02  +1.237E+01  +1.207E+02
  +4.69E+01  +3.32E+01  -3.851E+01  +1.062E+02  -9.321E+00  +1.308E+02
  +4.74E+01  +3.13E+01  -1.246E+02  +8.619E+01  -2.461E+01  +1.885E+02
  +4.45E+01  +3.44E+01  +4.276E+01  +1.236E+02  +1.479E+01  +1.117E+02
  +4.46E+01  +3.25E+01  -7.762E+01  +1.012E+02  +5.313E+00  +1.556E+02
  +4.47E+01  +3.06E+01  -1.662E+02  +8.810E+01  -9.771E-01  +2.237E+02

Element # = 12     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +4.61E+01  +4.06E+01  +4.123E+02  +3.227E+02  +2.773E+02  +6.097E+02
  +4.69E+01  +3.88E+01  +2.101E+02  +1.865E+02  +1.107E+02  +2.766E+02
  +4.77E+01  +3.70E+01  +1.662E+02  +1.401E+02  +5.889E+00  +1.551E+02
  +4.52E+01  +3.98E+01  +5.681E+02  +2.948E+02  +2.693E+02  +6.781E+02
  +4.57E+01  +3.80E+01  +2.497E+02  +1.845E+02  +1.136E+02  +2.984E+02
  +4.62E+01  +3.62E+01  +1.448E+02  +1.675E+02  +2.432E+01  +1.629E+02
  +4.43E+01  +3.91E+01  +6.744E+02  +1.830E+02  +2.259E+02  +7.197E+02
  +4.44E+01  +3.73E+01  +2.527E+02  +1.266E+02  +1.010E+02  +2.802E+02
  +4.44E+01  +3.55E+01  +1.021E+02  +1.556E+02  +3.928E+01  +1.529E+02

Element # = 13     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.65E+01  +3.40E+01  -9.513E+01  -2.653E+01  -8.285E+01  +1.668E+02
